ts_code,buy_date,buy_price,sell_date,sell_price,shares,return_pct,pnl
002771,20240816,16.45,20240819,16.97,20600,3.16,10712.0
600753,20240816,5.76,20240819,5.5,59100,-4.51,-15366.0
001379,20240819,28.56,20240820,31.42,11700,10.01,33462.0
603900,20240819,5.96,20240820,5.67,56600,-4.87,-16414.0
600336,20240819,4.86,20240820,4.63,69400,-4.73,-15962.0
000981,20240820,1.18,20240821,1.11,285300,-5.93,-19971.0
000545,20240820,1.87,20240821,2.0,180000,6.95,23400.0
002986,20240820,10.32,20240821,10.01,32600,-3.0,-10106.0
002201,20240821,4.49,20240822,4.29,74400,-4.45,-14880.0
603990,20240821,7.69,20240822,7.37,43500,-4.16,-13920.0
600078,20240821,5.19,20240822,5.3,64500,2.12,7095.0
603378,20240822,6.55,20240823,6.52,49900,-0.46,-1497.0
002479,20240822,3.74,20240823,3.52,87500,-5.88,-19250.0
600501,20240822,17.01,20240823,15.31,19200,-9.99,-32640.0
002302,20240823,5.26,20240826,5.79,58800,10.08,31164.0
603768,20240823,11.18,20240826,11.59,27600,3.67,11316.0
002855,20240823,18.55,20240826,18.95,16700,2.16,6680.0
603060,20240826,5.8,20240827,6.38,56100,10.0,32538.0
002405,20240826,7.12,20240827,7.23,45700,1.54,5027.0
002085,20240826,12.39,20240827,12.06,26300,-2.66,-8679.0
600529,20240827,23.04,20240828,23.22,14500,0.78,2610.0
603700,20240827,9.8,20240828,9.81,34300,0.1,343.0
600892,20240827,4.2,20240828,4.06,80000,-3.33,-11200.0
002607,20240828,1.82,20240829,1.9,182800,4.4,14624.0
603728,20240828,33.54,20240829,34.56,9900,3.04,10098.0
002292,20240828,5.86,20240829,5.64,56900,-3.75,-12518.0
002579,20240829,6.88,20240830,7.06,48900,2.62,8802.0
002865,20240829,38.28,20240830,38.82,8800,1.41,4752.0
600421,20240829,6.29,20240830,6.28,53500,-0.16,-535.0
002425,20240830,2.85,20240902,2.79,119600,-2.11,-7176.0
002713,20240830,2.52,20240902,2.44,135400,-3.17,-10832.0
002771,20240830,17.04,20240902,17.01,20000,-0.18,-600.0
605178,20240902,14.72,20240903,15.06,22700,2.31,7718.0
603196,20240902,8.27,20240903,8.45,40500,2.18,7290.0
000820,20240902,2.65,20240903,2.58,126600,-2.64,-8862.0
002713,20240903,2.56,20240905,2.55,131600,-0.39,-1316.0
600685,20240903,24.55,20240905,24.4,13700,-0.61,-2055.0
600482,20240903,21.43,20240905,21.22,15700,-0.98,-3297.0
600686,20240905,13.53,20240906,14.43,24700,6.65,22230.0
600650,20240905,11.18,20240906,12.31,29900,10.11,33787.0
002232,20240905,16.71,20240906,16.39,20000,-1.92,-6400.0
002823,20240906,13.14,20240909,13.4,26700,1.98,6942.0
000678,20240906,4.4,20240909,4.6,79800,4.55,15960.0
000712,20240906,10.04,20240909,9.72,35000,-3.19,-11200.0
001387,20240909,13.25,20240910,12.83,26800,-3.17,-11256.0
002490,20240909,2.03,20240910,2.01,175000,-0.99,-3500.0
601003,20240909,2.68,20240910,2.56,132500,-4.48,-15900.0
000068,20240910,3.18,20240911,3.05,108400,-4.09,-14092.0
002861,20240910,11.3,20240911,11.05,30500,-2.21,-7625.0
000158,20240910,7.8,20240911,7.87,44300,0.9,3101.0
603004,20240911,17.74,20240912,17.2,19000,-3.04,-10260.0
002150,20240911,13.01,20240912,13.39,26100,2.92,9918.0
000546,20240911,4.75,20240912,5.02,71500,5.68,19305.0
002866,20240912,13.61,20240913,13.17,25300,-3.23,-11132.0
002631,20240912,4.04,20240913,3.83,85500,-5.2,-17955.0
002263,20240912,1.9,20240913,1.85,181800,-2.63,-9090.0
603988,20240913,11.1,20240918,10.57,29900,-4.77,-15847.0
001267,20240913,5.02,20240918,4.92,66200,-1.99,-6620.0
600601,20240913,2.78,20240918,2.75,119700,-1.08,-3591.0
002338,20240918,26.67,20240919,26.56,12100,-0.41,-1331.0
603356,20240918,12.22,20240919,12.29,26500,0.57,1855.0
002533,20240918,8.24,20240919,8.2,39300,-0.49,-1572.0
603536,20240919,8.0,20240920,8.19,40400,2.37,7676.0
603768,20240919,11.95,20240920,12.23,27000,2.34,7560.0
002095,20240919,12.62,20240920,12.62,25600,0.0,0.0
002369,20240920,4.47,20240923,4.71,73400,5.37,17616.0
603890,20240920,8.89,20240923,8.93,36900,0.45,1476.0
002232,20240920,16.28,20240923,17.91,20200,10.01,32926.0
603439,20240923,12.75,20240924,13.69,27100,7.37,25474.0
600358,20240923,3.14,20240924,3.23,110100,2.87,9909.0
002843,20240923,12.14,20240924,12.3,28500,1.32,4560.0
601595,20240924,19.27,20240925,20.85,18600,8.2,29388.0
603185,20240924,13.27,20240925,13.7,27000,3.24,11610.0
000099,20240924,15.4,20240925,15.79,23400,2.53,9126.0
000627,20240925,3.04,20240926,3.11,123600,2.3,8652.0
603615,20240925,13.52,20240926,13.75,27700,1.7,6371.0
605081,20240925,11.5,20240926,11.66,32700,1.39,5232.0
603378,20240926,6.66,20240927,6.91,57400,3.75,14350.0
002036,20240926,7.61,20240927,8.15,50200,7.1,27108.0
603398,20240926,15.86,20240927,16.6,24100,4.67,17834.0
002801,20240927,19.68,20240930,21.12,20400,7.32,29376.0
000062,20240930,28.74,20241008,31.62,14300,10.02,41184.0
000536,20240930,3.32,20241008,3.65,124200,9.94,40986.0
000566,20240930,4.32,20241008,4.72,95500,9.26,38200.0
000525,20241008,7.81,20241011,8.36,57900,7.04,31845.0
002141,20241011,1.19,20241014,1.22,388900,2.52,11667.0
000615,20241011,2.0,20241014,2.1,231400,5.0,23140.0
000752,20241011,6.55,20241014,6.56,70600,0.15,706.0
002480,20241014,4.47,20241015,4.33,106100,-3.13,-14854.0
600719,20241014,6.82,20241015,6.68,69600,-2.05,-9744.0
603598,20241014,13.76,20241015,14.6,34500,6.1,28980.0
600807,20241015,3.27,20241016,3.36,145600,2.75,13104.0
002193,20241015,4.74,20241016,4.59,100400,-3.16,-15060.0
600192,20241015,5.86,20241016,6.01,81200,2.56,12180.0
002305,20241016,2.07,20241017,1.92,231600,-7.25,-34740.0
000838,20241016,2.85,20241017,2.83,168200,-0.7,-3364.0
001337,20241016,25.35,20241017,25.14,18900,-0.83,-3969.0
600538,20241017,3.69,20241018,4.06,126100,10.03,46657.0
605488,20241017,9.94,20241018,10.15,46800,2.11,9828.0
002988,20241017,16.65,20241018,17.17,27900,3.12,14508.0
002031,20241018,3.15,20241021,3.27,155200,3.81,18624.0
600825,20241018,5.13,20241021,5.64,95300,9.94,48603.0
000627,20241018,3.28,20241021,3.26,149300,-0.61,-2986.0
600981,20241021,2.26,20241022,2.49,225900,10.18,51957.0
600567,20241021,1.75,20241022,1.72,291700,-1.71,-8751.0
603095,20241021,11.38,20241022,12.52,44800,10.02,51072.0
002622,20241022,2.06,20241023,2.11,263100,2.43,13155.0
002429,20241022,5.11,20241023,4.93,106000,-3.52,-19080.0
603718,20241022,6.88,20241023,7.17,78800,4.22,22852.0
000595,20241023,9.74,20241024,10.01,56200,2.77,15174.0
600187,20241023,3.65,20241024,3.75,150000,2.74,15000.0
605117,20241023,62.41,20241024,59.42,8700,-4.79,-26013.0
002786,20241024,12.07,20241025,12.21,45400,1.16,6356.0
002211,20241024,3.99,20241025,3.9,137700,-2.26,-12393.0
000753,20241024,3.3,20241025,3.48,166500,5.45,29970.0
002205,20241025,8.72,20241028,8.7,63800,-0.23,-1276.0
600649,20241025,4.59,20241028,4.87,121400,6.1,33992.0
002856,20241025,9.79,20241028,9.41,56900,-3.88,-21622.0
002423,20241028,16.79,20241030,20.32,33300,21.02,117549.0
600657,20241028,5.08,20241030,5.02,110500,-1.18,-6630.0
002899,20241028,16.8,20241030,16.23,33400,-3.39,-19038.0
600797,20241030,7.13,20241031,7.12,82900,-0.14,-829.0
002075,20241030,6.33,20241031,6.4,93400,1.11,6538.0
002649,20241030,12.23,20241031,13.45,48300,9.98,58926.0
603061,20241031,84.37,20241101,79.47,7200,-5.81,-35280.0
600678,20241031,8.6,20241101,7.74,71500,-10.0,-61490.0
603997,20241031,13.1,20241101,13.3,47000,1.53,9400.0
002979,20241101,26.93,20241104,29.62,21600,9.99,58104.0
600141,20241101,22.25,20241104,22.8,26200,2.47,14410.0
601665,20241101,5.43,20241104,5.43,108000,0.0,0.0
603035,20241104,14.58,20241105,14.88,41600,2.06,12480.0
603615,20241104,18.89,20241105,20.36,32200,7.78,47334.0
002933,20241104,31.0,20241105,32.95,19600,6.29,38220.0
002261,20241105,25.47,20241106,24.9,25100,-2.24,-14307.0
002955,20241105,24.6,20241106,24.48,26000,-0.49,-3120.0
